,car_titlem,car_price,car_description,car_location
0,Hyundai Sonata,7 900 000 ₸,"2017 г., седан, 2 л, бензин, КПП автомат, серебристый, Машина в отличном состояние. Южно — Корейская сборка. Полная ко...",Алматы
1,Hyundai Sonata,3 500 000 ₸,"2012 г., хэтчбек, 2 л, газ, КПП типтроник, 280 000 км, серебристый, металлик, багажник, тонировка, люк, фаркоп, кенгур...",Алматы
2,Hyundai Sonata,7 000 000 ₸,"2017 г., седан, 2.4 л, бензин, КПП типтроник, 40 233 км, белый, металлик, литые диски, люк, хрустальная оптика, против...",Актау
3,Hyundai Sonata,7 300 000 ₸,"2014 г., седан, 2.4 л, бензин, КПП автомат, 72 000 км, белый, металлик, багажник, литые диски, панорамная крыша, тонир...",Костанай
4,Hyundai Sonata,4 300 000 ₸,"2013 г., седан, 2.4 л, бензин, КПП автомат, 112 653 км, свежепригнан, В идеальном состоянии! Не битый не крашенный. Вс...",Атырау
5,Hyundai Sonata,6 800 000 ₸,"2017 г., седан, 2 л, газ, КПП автомат, 89 500 км, серебристый, металлик, литые диски, тонировка, ветровики, хрустальна...",Алматы
6,Hyundai Sonata,5 000 000 ₸,"2012 г., седан, 2 л, бензин, КПП автомат, 130 000 км, черный, литые диски, тонировка, ветровики, ксенон, противотуманк...",Нур-Султан (Астана)
7,Hyundai Sonata,3 550 000 ₸,"2012 г., седан, 2.4 л, бензин, КПП автомат, 107 825 км, серебристый, металлик, фаркоп, литые диски, тонировка, багажни...",Караганда
8,Hyundai Sonata,7 200 000 ₸,"2018 г., седан, 2 л, газ, КПП автомат, 26 193 км, Автосалон «Пирим авто» (Автомобили с пробегом) "" Hyundai Sonata "" 20...",Шымкент
9,Hyundai Sonata,7 800 000 ₸,"2016 г., седан, 2.4 л, бензин, КПП автомат, 130 000 км, белый, литые диски, тонировка, люк, панорамная крыша, линзован...",Нур-Султан (Астана)
10,Hyundai Sonata,8 640 000 ₸,"2019 г., седан, 2 л, бензин, КПП автомат, 16 000 км, серый, металлик, Представляем Вашему вниманию Hyundai Sonata 2019...",Шымкент
